,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,7,1017,856,90,combine
ATMMut103_T22,2.0,2.0,4.0,27.0,12.0,27.0,27.0,27.0,6.0,30.0,30.0,30.0,27.0,27.0,2.0,21.0,2.0,2.0,2.0,2.0,2.0
ATMMut19_T6,2.0,2.0,4.0,8.0,4.0,8.0,8.0,8.0,2.0,30.0,30.0,30.0,8.0,8.0,2.0,8.0,2.0,2.0,2.0,2.0,2.0
ATMMut166_T17,2.0,2.0,4.0,25.0,11.0,25.0,25.0,25.0,2.0,30.0,30.0,30.0,25.0,25.0,2.0,18.0,2.0,2.0,2.0,2.0,2.0
ATMMut37_T19,2.0,2.0,4.0,26.0,12.0,26.0,26.0,26.0,2.0,30.0,30.0,30.0,26.0,26.0,2.0,20.0,2.0,2.0,2.0,2.0,2.0
ATMMut16_T19,2.0,2.0,4.0,26.0,12.0,26.0,26.0,26.0,2.0,30.0,30.0,30.0,26.0,26.0,2.0,20.0,2.0,2.0,2.0,2.0,2.0
ATMMut170_T21,2.0,2.0,4.0,25.0,12.0,25.0,25.0,25.0,2.0,30.0,30.0,30.0,25.0,25.0,2.0,18.0,2.0,2.0,2.0,2.0,2.0
ATMMut110_T22,2.0,2.0,4.0,27.0,12.0,27.0,27.0,27.0,6.0,30.0,30.0,30.0,27.0,27.0,2.0,21.0,2.0,2.0,2.0,2.0,2.0
ATMMut17_T1,3.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,29.0,1.0,2.0,2.0,1.0,2.0,29.0,2.0,2.0,3.0,3.0,3.0,3.0
ATMMut174_T19,2.0,2.0,4.0,26.0,12.0,26.0,26.0,26.0,2.0,30.0,30.0,30.0,26.0,26.0,2.0,20.0,2.0,2.0,2.0,2.0,2.0
ATMMut161_T4,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
ATMMut48_T17,2.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,2.0,25.0,2.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,2.0,2.0,2.0
ATMMut77_T22,2.0,2.0,4.0,27.0,12.0,27.0,27.0,27.0,6.0,30.0,30.0,30.0,27.0,27.0,2.0,21.0,2.0,2.0,2.0,2.0,2.0
ATMMut193_T5,3.0,29.0,30.0,3.0,3.0,3.0,1.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,3.0,3.0,1.0
ATMMut7_T21,2.0,2.0,4.0,25.0,12.0,25.0,25.0,25.0,2.0,30.0,30.0,30.0,25.0,25.0,2.0,18.0,2.0,2.0,2.0,2.0,2.0
ATMMut78_T17,2.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,2.0,25.0,2.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,2.0,2.0,2.0
ATMMut97_T17,2.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,2.0,25.0,2.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,2.0,2.0,2.0
ATMMut128_T5,2.0,2.0,4.0,8.0,4.0,8.0,8.0,8.0,2.0,30.0,30.0,30.0,8.0,8.0,2.0,8.0,2.0,2.0,2.0,2.0,2.0
ATMMut13_T22,2.0,2.0,4.0,27.0,12.0,27.0,27.0,27.0,6.0,30.0,30.0,30.0,27.0,27.0,2.0,21.0,2.0,2.0,2.0,2.0,2.0
ATMMut149_T30,2.0,2.0,4.0,30.0,8.0,30.0,30.0,30.0,2.0,30.0,30.0,30.0,30.0,30.0,2.0,12.0,2.0,2.0,2.0,2.0,2.0
ATMMut22_T2,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,23.0,1.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0
ATMMut121_T15,4.0,4.0,5.0,6.0,2.0,2.0,2.0,6.0,1.0,29.0,6.0,6.0,4.0,6.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0
ATMMut115_T5,2.0,2.0,4.0,8.0,4.0,8.0,8.0,8.0,2.0,30.0,30.0,30.0,8.0,8.0,2.0,8.0,2.0,2.0,2.0,2.0,2.0
ATMMut94_T19,2.0,2.0,4.0,26.0,12.0,26.0,26.0,26.0,2.0,30.0,30.0,30.0,26.0,26.0,2.0,20.0,2.0,2.0,2.0,2.0,2.0
ATMMut107_T15,2.0,2.0,4.0,18.0,11.0,18.0,18.0,18.0,4.0,30.0,30.0,30.0,18.0,18.0,2.0,16.0,2.0,2.0,2.0,2.0,2.0
ATMMut4_T5,2.0,2.0,4.0,8.0,4.0,8.0,8.0,8.0,2.0,30.0,30.0,30.0,8.0,8.0,2.0,8.0,2.0,2.0,2.0,2.0,2.0
ATMMut109_T30,2.0,2.0,4.0,30.0,8.0,30.0,30.0,30.0,2.0,30.0,30.0,30.0,30.0,30.0,2.0,12.0,2.0,2.0,2.0,2.0,2.0
ATMMut46_T21,2.0,2.0,4.0,25.0,12.0,25.0,25.0,25.0,2.0,30.0,30.0,30.0,25.0,25.0,2.0,18.0,2.0,2.0,2.0,2.0,2.0
ATMMut182_T20,2.0,2.0,4.0,26.0,12.0,26.0,26.0,26.0,2.0,30.0,30.0,30.0,26.0,26.0,2.0,20.0,2.0,2.0,2.0,2.0,2.0
