,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,2587,469,822,1144,1241,243,combine
InFlightMut143_T26,23.0,19.0,20.0,26.0,24.0,26.0,26.0,26.0,24.0,27.0,26.0,27.0,26.0,26.0,23.0,26.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0
InFlightMut188_T8,7.0,6.0,7.0,13.0,11.0,13.0,13.0,13.0,11.0,11.0,13.0,14.0,13.0,13.0,7.0,13.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0
InFlightMut2_T15,14.0,28.0,29.0,4.0,3.0,4.0,4.0,4.0,4.0,18.0,4.0,4.0,6.0,4.0,14.0,4.0,2.0,29.0,27.0,27.0,27.0,27.0,26.0
InFlightMut27_T21,20.0,16.0,17.0,23.0,21.0,23.0,23.0,23.0,21.0,24.0,23.0,24.0,23.0,23.0,20.0,23.0,18.0,17.0,17.0,17.0,17.0,17.0,17.0
InFlightMut101_T24,22.0,18.0,19.0,25.0,23.0,25.0,25.0,25.0,23.0,26.0,25.0,26.0,25.0,25.0,22.0,25.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0
InFlightMut119_T6,5.0,26.0,27.0,2.0,1.0,2.0,2.0,2.0,2.0,9.0,2.0,2.0,2.0,2.0,5.0,2.0,28.0,26.0,1.0,1.0,1.0,30.0,1.0
InFlightMut18_T2,1.0,1.0,2.0,8.0,6.0,8.0,8.0,8.0,6.0,5.0,8.0,9.0,8.0,8.0,1.0,8.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0
InFlightMut104_T26,23.0,19.0,20.0,26.0,24.0,26.0,26.0,26.0,24.0,27.0,26.0,27.0,26.0,26.0,23.0,26.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0
InFlightMut25_T17,16.0,12.0,13.0,19.0,17.0,19.0,19.0,19.0,17.0,20.0,19.0,20.0,19.0,19.0,16.0,19.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0
InFlightMut169_T20,19.0,15.0,16.0,22.0,20.0,22.0,22.0,22.0,20.0,23.0,22.0,23.0,22.0,22.0,19.0,22.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0
InFlightMut186_T18,17.0,13.0,14.0,20.0,18.0,20.0,20.0,20.0,18.0,21.0,20.0,21.0,20.0,20.0,17.0,20.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0
InFlightMut182_T18,17.0,13.0,14.0,20.0,18.0,20.0,20.0,20.0,18.0,21.0,20.0,21.0,20.0,20.0,17.0,20.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0
InFlightMut117_T13,12.0,9.0,10.0,16.0,14.0,16.0,16.0,16.0,14.0,16.0,16.0,17.0,16.0,16.0,12.0,16.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0
InFlightMut173_T14,13.0,10.0,11.0,17.0,15.0,17.0,17.0,17.0,15.0,17.0,17.0,18.0,17.0,17.0,13.0,17.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0
InFlightMut146_T32,28.0,24.0,26.0,32.0,29.0,32.0,32.0,32.0,29.0,32.0,31.0,32.0,32.0,32.0,28.0,31.0,26.0,25.0,25.0,25.0,25.0,25.0,25.0
InFlightMut145_T29,25.0,21.0,23.0,29.0,26.0,29.0,29.0,29.0,26.0,29.0,28.0,29.0,29.0,29.0,25.0,28.0,23.0,22.0,22.0,22.0,22.0,22.0,22.0
InFlightMut132_T2,1.0,1.0,2.0,8.0,6.0,8.0,8.0,8.0,6.0,5.0,8.0,9.0,8.0,8.0,1.0,8.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0
InFlightMut147_T7,6.0,5.0,6.0,12.0,10.0,12.0,12.0,12.0,10.0,10.0,12.0,13.0,12.0,12.0,6.0,12.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0
InFlightMut103_T24,22.0,18.0,19.0,25.0,23.0,25.0,25.0,25.0,23.0,26.0,25.0,26.0,25.0,25.0,22.0,25.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0
InFlightMut15_T19,18.0,14.0,15.0,21.0,19.0,21.0,21.0,21.0,19.0,22.0,21.0,22.0,21.0,21.0,18.0,21.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0
InFlightMut148_T26,23.0,19.0,20.0,26.0,24.0,26.0,26.0,26.0,24.0,27.0,26.0,27.0,26.0,26.0,23.0,26.0,21.0,20.0,20.0,20.0,20.0,20.0,20.0
InFlightMut39_T24,22.0,18.0,19.0,25.0,23.0,25.0,25.0,25.0,23.0,26.0,25.0,26.0,25.0,25.0,22.0,25.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0
InFlightMut140_T12,11.0,8.0,9.0,15.0,13.0,15.0,15.0,15.0,13.0,15.0,15.0,16.0,15.0,15.0,11.0,15.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0
InFlightMut164_T2,1.0,1.0,2.0,8.0,6.0,8.0,8.0,8.0,6.0,5.0,8.0,9.0,8.0,8.0,1.0,8.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0
InFlightMut107_T18,17.0,13.0,14.0,20.0,18.0,20.0,20.0,20.0,18.0,21.0,20.0,21.0,20.0,20.0,17.0,20.0,15.0,14.0,14.0,14.0,14.0,14.0,14.0
InFlightMut135_T7,6.0,5.0,6.0,12.0,10.0,12.0,12.0,12.0,10.0,10.0,12.0,13.0,12.0,12.0,6.0,12.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0
