,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,658,1162,2205,45,28,combine
MLSMut186_T9,8.0,8.0,9.0,12.0,9.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,8.0,12.0,9.0,9.0,9.0,10.0,9.0,11.0
MLSMut22_T51,47.0,47.0,48.0,51.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,47.0,51.0,49.0,49.0,49.0,49.0,49.0,50.0
MLSMut152_T9,8.0,8.0,9.0,12.0,9.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,8.0,12.0,9.0,9.0,9.0,10.0,9.0,11.0
MLSMut164_T1,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0
MLSMut181_T11,9.0,8.0,9.0,15.0,11.0,15.0,15.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0,9.0,15.0,9.0,9.0,9.0,15.0,9.0,14.0
MLSMut148_T26,22.0,22.0,23.0,26.0,23.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,22.0,26.0,24.0,24.0,24.0,24.0,24.0,25.0
MLSMut106_T51,47.0,47.0,48.0,51.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,47.0,51.0,49.0,49.0,49.0,49.0,49.0,50.0
MLSMut24_T76,72.0,72.0,73.0,76.0,73.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,72.0,76.0,74.0,74.0,74.0,74.0,74.0,75.0
MLSMut179_T76,72.0,72.0,73.0,76.0,73.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,72.0,76.0,74.0,74.0,74.0,74.0,74.0,75.0
MLSMut10_T11,79.0,79.0,80.0,2.0,80.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,80.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0
MLSMut150_T21,17.0,17.0,18.0,21.0,18.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.0,21.0,19.0,19.0,19.0,19.0,19.0,20.0
MLSMut123_T41,37.0,37.0,38.0,41.0,38.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,37.0,41.0,39.0,39.0,39.0,39.0,39.0,40.0
MLSMut118_T41,37.0,37.0,38.0,41.0,38.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,37.0,41.0,39.0,39.0,39.0,39.0,39.0,40.0
MLSMut104_T1,78.0,78.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,79.0,1.0,2.0,1.0,1.0,1.0,1.0,81.0
MLSMut127_T26,22.0,22.0,23.0,26.0,23.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,22.0,26.0,24.0,24.0,24.0,24.0,24.0,25.0
MLSMut197_T51,47.0,47.0,48.0,51.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,47.0,51.0,49.0,49.0,49.0,49.0,49.0,50.0
MLSMut199_T21,17.0,17.0,18.0,21.0,18.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,17.0,21.0,19.0,19.0,19.0,19.0,19.0,20.0
MLSMut188_T27,23.0,23.0,24.0,27.0,24.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,23.0,27.0,25.0,25.0,25.0,25.0,25.0,26.0
MLSMut171_T76,72.0,72.0,73.0,76.0,73.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,72.0,76.0,74.0,74.0,74.0,74.0,74.0,75.0
MLSMut196_T26,22.0,22.0,23.0,26.0,23.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,22.0,26.0,24.0,24.0,24.0,24.0,24.0,25.0
MLSMut149_T9,8.0,8.0,9.0,12.0,9.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,8.0,12.0,9.0,9.0,9.0,10.0,9.0,11.0
