,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,2596,680,129,2636,1994,473,817,1863,1803,combine
OLSRMut157_T19,10.0,9.0,10.0,19.0,12.0,19.0,19.0,19.0,18.0,19.0,19.0,19.0,19.0,19.0,10.0,19.0,15.0,13.0,13.0,12.0,15.0,15.0,13.0,14.0,14.0,13.0
OLSRMut181_T23,14.0,13.0,14.0,23.0,16.0,23.0,23.0,23.0,22.0,23.0,23.0,23.0,23.0,23.0,14.0,23.0,19.0,17.0,17.0,16.0,19.0,19.0,17.0,18.0,18.0,17.0
OLSRMut149_T16,7.0,6.0,7.0,16.0,9.0,16.0,16.0,16.0,15.0,16.0,16.0,16.0,16.0,16.0,7.0,16.0,12.0,10.0,10.0,9.0,12.0,12.0,10.0,11.0,11.0,10.0
OLSRMut170_T21,12.0,11.0,12.0,21.0,14.0,21.0,21.0,21.0,20.0,21.0,21.0,21.0,21.0,21.0,12.0,21.0,17.0,15.0,15.0,14.0,17.0,17.0,15.0,16.0,16.0,15.0
OLSRMut183_T19,10.0,9.0,10.0,19.0,12.0,19.0,19.0,19.0,18.0,19.0,19.0,19.0,19.0,19.0,10.0,19.0,15.0,13.0,13.0,12.0,15.0,15.0,13.0,14.0,14.0,13.0
OLSRMut100_T17,8.0,7.0,8.0,17.0,10.0,17.0,17.0,17.0,16.0,17.0,17.0,17.0,17.0,17.0,8.0,17.0,13.0,11.0,11.0,10.0,13.0,13.0,11.0,12.0,12.0,11.0
OLSRMut198_T10,18.0,18.0,17.0,7.0,18.0,5.0,5.0,7.0,5.0,7.0,7.0,7.0,7.0,7.0,17.0,7.0,4.0,18.0,21.0,19.0,5.0,5.0,20.0,19.0,21.0,19.0
OLSRMut22_T23,14.0,13.0,14.0,23.0,16.0,23.0,23.0,23.0,22.0,23.0,23.0,23.0,23.0,23.0,14.0,23.0,19.0,17.0,17.0,16.0,19.0,19.0,17.0,18.0,18.0,17.0
OLSRMut28_T11,3.0,3.0,4.0,13.0,6.0,13.0,13.0,13.0,12.0,12.0,13.0,13.0,13.0,13.0,3.0,13.0,9.0,7.0,7.0,6.0,9.0,9.0,7.0,8.0,8.0,7.0
OLSRMut160_T12,4.0,4.0,5.0,14.0,7.0,14.0,14.0,14.0,13.0,13.0,14.0,14.0,14.0,14.0,4.0,14.0,10.0,8.0,8.0,7.0,10.0,10.0,8.0,9.0,9.0,8.0
OLSRMut101_T15,6.0,21.0,19.0,8.0,2.0,8.0,8.0,8.0,7.0,15.0,8.0,8.0,8.0,8.0,6.0,8.0,21.0,21.0,19.0,21.0,21.0,6.0,18.0,5.0,5.0,4.0
OLSRMut194_T4,19.0,16.0,22.0,3.0,23.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,22.0,3.0,3.0,3.0,3.0,18.0,3.0,4.0,3.0,3.0,4.0,18.0
OLSRMut200_T2,15.0,15.0,15.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,21.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0
OLSRMut150_T4,19.0,16.0,22.0,3.0,23.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,22.0,3.0,3.0,3.0,3.0,18.0,3.0,4.0,3.0,3.0,4.0,18.0
OLSRMut153_T8,21.0,19.0,18.0,6.0,21.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,18.0,5.0,6.0,19.0,22.0,17.0,6.0,20.0,21.0,20.0,19.0,2.0
OLSRMut139_T8,21.0,19.0,18.0,6.0,21.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,18.0,5.0,6.0,19.0,22.0,17.0,6.0,20.0,21.0,20.0,19.0,2.0
OLSRMut134_T14,20.0,22.0,21.0,9.0,17.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,15.0,9.0,22.0,22.0,18.0,23.0,22.0,21.0,23.0,23.0,23.0,22.0
OLSRMut173_T11,3.0,3.0,4.0,13.0,6.0,13.0,13.0,13.0,12.0,12.0,13.0,13.0,13.0,13.0,3.0,13.0,9.0,7.0,7.0,6.0,9.0,9.0,7.0,8.0,8.0,7.0
OLSRMut115_T8,21.0,19.0,18.0,6.0,21.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,5.0,18.0,5.0,6.0,19.0,22.0,17.0,6.0,20.0,21.0,20.0,19.0,2.0
OLSRMut169_T22,13.0,12.0,13.0,22.0,15.0,22.0,22.0,22.0,21.0,22.0,22.0,22.0,22.0,22.0,13.0,22.0,18.0,16.0,16.0,15.0,18.0,18.0,16.0,17.0,17.0,16.0
OLSRMut119_T19,10.0,9.0,10.0,19.0,12.0,19.0,19.0,19.0,18.0,19.0,19.0,19.0,19.0,19.0,10.0,19.0,15.0,13.0,13.0,12.0,15.0,15.0,13.0,14.0,14.0,13.0
OLSRMut174_T6,2.0,2.0,3.0,12.0,5.0,12.0,12.0,12.0,11.0,11.0,12.0,12.0,12.0,12.0,2.0,12.0,8.0,6.0,6.0,5.0,8.0,8.0,6.0,7.0,7.0,6.0
OLSRMut199_T8,22.0,20.0,19.0,6.0,19.0,7.0,7.0,6.0,7.0,6.0,6.0,7.0,6.0,7.0,18.0,7.0,20.0,21.0,22.0,21.0,21.0,23.0,22.0,22.0,22.0,21.0
OLSRMut118_T14,6.0,6.0,7.0,15.0,9.0,15.0,15.0,15.0,14.0,14.0,15.0,15.0,15.0,15.0,6.0,15.0,12.0,10.0,10.0,9.0,12.0,12.0,10.0,11.0,11.0,7.0
