,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,143,57,18,828,238,26,130,combine
INRESMut79_T7,2.0,2.0,3.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0
INRESMut21_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut50_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut56_T2,13.0,13.0,1.0,3.0,3.0,3.0,2.0,18.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
INRESMut91_T7,2.0,2.0,3.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0
INRESMut104_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut200_T3,12.0,12.0,13.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
INRESMut147_T7,2.0,2.0,3.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0
INRESMut61_T2,13.0,13.0,1.0,2.0,2.0,1.0,1.0,18.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut169_T3,12.0,12.0,13.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
INRESMut67_T3,1.0,1.0,2.0,2.0,7.0,7.0,7.0,1.0,7.0,7.0,7.0,7.0,3.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
INRESMut119_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut180_T7,2.0,2.0,3.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0
INRESMut31_T3,12.0,12.0,13.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
INRESMut20_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut93_T2,13.0,13.0,1.0,3.0,3.0,3.0,3.0,18.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
INRESMut172_T7,2.0,2.0,3.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0
INRESMut194_T7,2.0,2.0,3.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0
INRESMut114_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut100_T7,2.0,2.0,3.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0
INRESMut109_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut30_T2,13.0,13.0,1.0,2.0,2.0,1.0,1.0,18.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut136_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut3_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut152_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut116_T3,12.0,12.0,13.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0
INRESMut16_T7,2.0,2.0,3.0,4.0,8.0,8.0,8.0,2.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0
INRESMut151_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut64_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
INRESMut156_T2,13.0,13.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
