,Tarantula,Ochiai1,Ochiai2,Ample,Jaccard,Kulczynski,Dstar2,Naish1,Naish2,GP13,Wong1,RusselRao,Binary,GP02,GP03,GP19,2491,1198,98,132,432,2252,1954,combine
RM2Mut15_T205,205.0,205.0,205.0,167.0,205.0,205.0,205.0,163.0,203.0,205.0,205.0,205.0,205.0,205.0,205.0,205.0,177.0,179.0,172.0,171.0,162.0,172.0,175.0,160.0
RM2Mut183_T1,15.0,2.0,6.0,8.0,2.0,2.0,2.0,199.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,13.0,10.0,1.0,3.0,6.0
RM2Mut185_T215,215.0,215.0,215.0,177.0,215.0,215.0,215.0,173.0,213.0,215.0,215.0,215.0,215.0,215.0,215.0,215.0,187.0,189.0,182.0,181.0,172.0,182.0,185.0,170.0
RM2Mut192_T30,18.0,6.0,21.0,191.0,6.0,6.0,6.0,208.0,6.0,6.0,6.0,6.0,29.0,6.0,6.0,10.0,10.0,6.0,6.0,20.0,7.0,8.0,6.0,3.0
RM2Mut148_T191,191.0,191.0,191.0,153.0,191.0,191.0,191.0,149.0,189.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0,163.0,165.0,158.0,157.0,148.0,158.0,161.0,146.0
RM2Mut134_T141,141.0,141.0,141.0,103.0,141.0,141.0,141.0,99.0,139.0,141.0,141.0,141.0,141.0,141.0,141.0,141.0,113.0,115.0,108.0,107.0,98.0,108.0,111.0,96.0
RM2Mut175_T164,164.0,164.0,164.0,126.0,164.0,164.0,164.0,122.0,162.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,136.0,138.0,131.0,130.0,121.0,131.0,134.0,119.0
RM2Mut26_T11,26.0,20.0,16.0,189.0,20.0,20.0,20.0,186.0,20.0,20.0,20.0,20.0,11.0,20.0,20.0,19.0,21.0,19.0,14.0,19.0,6.0,16.0,21.0,1.0
RM2Mut137_T223,223.0,223.0,223.0,185.0,223.0,223.0,223.0,181.0,221.0,223.0,223.0,223.0,223.0,223.0,223.0,223.0,195.0,197.0,190.0,189.0,180.0,190.0,193.0,178.0
RM2Mut180_T152,152.0,152.0,152.0,114.0,152.0,152.0,152.0,110.0,150.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,124.0,126.0,119.0,118.0,109.0,119.0,122.0,107.0
RM2Mut179_T114,114.0,114.0,114.0,76.0,114.0,114.0,114.0,72.0,112.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,86.0,88.0,81.0,80.0,71.0,81.0,84.0,69.0
RM2Mut140_T120,13.0,37.0,16.0,13.0,39.0,39.0,39.0,78.0,39.0,39.0,40.0,40.0,53.0,39.0,39.0,40.0,24.0,29.0,16.0,13.0,185.0,19.0,21.0,5.0
RM2Mut162_T5,20.0,5.0,44.0,205.0,5.0,5.0,5.0,216.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,23.0,9.0,5.0,5.0,205.0,221.0,216.0,2.0,5.0
RM2Mut177_T152,152.0,152.0,152.0,114.0,152.0,152.0,152.0,110.0,150.0,152.0,152.0,152.0,152.0,152.0,152.0,152.0,124.0,126.0,119.0,118.0,109.0,119.0,122.0,107.0
RM2Mut188_T119,119.0,119.0,119.0,81.0,119.0,119.0,119.0,77.0,117.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,91.0,93.0,86.0,85.0,76.0,86.0,89.0,74.0
RM2Mut145_T29,53.0,53.0,48.0,17.0,53.0,53.0,53.0,7.0,53.0,53.0,53.0,53.0,53.0,55.0,53.0,53.0,27.0,29.0,22.0,21.0,12.0,22.0,25.0,10.0
RM2Mut161_T56,64.0,64.0,64.0,27.0,64.0,64.0,64.0,21.0,63.0,64.0,64.0,64.0,64.0,65.0,64.0,64.0,37.0,39.0,32.0,31.0,22.0,32.0,35.0,20.0
RM2Mut32_T132,132.0,132.0,132.0,94.0,132.0,132.0,132.0,90.0,130.0,132.0,132.0,132.0,132.0,132.0,132.0,132.0,104.0,106.0,99.0,98.0,89.0,99.0,102.0,87.0
RM2Mut131_T29,53.0,53.0,48.0,17.0,53.0,53.0,53.0,7.0,53.0,53.0,53.0,53.0,53.0,55.0,53.0,53.0,27.0,29.0,22.0,21.0,12.0,22.0,25.0,10.0
RM2Mut11_T120,13.0,37.0,16.0,13.0,39.0,39.0,39.0,78.0,39.0,39.0,40.0,40.0,53.0,39.0,39.0,40.0,24.0,29.0,16.0,13.0,185.0,19.0,21.0,5.0
RM2Mut23_T68,72.0,72.0,72.0,35.0,72.0,72.0,72.0,30.0,71.0,72.0,72.0,72.0,72.0,73.0,72.0,72.0,45.0,47.0,40.0,39.0,30.0,40.0,43.0,28.0
RM2Mut178_T118,118.0,118.0,118.0,80.0,118.0,118.0,118.0,76.0,116.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,90.0,92.0,85.0,84.0,75.0,85.0,88.0,73.0
RM2Mut132_T16,40.0,34.0,46.0,222.0,33.0,33.0,33.0,218.0,33.0,33.0,33.0,33.0,16.0,33.0,33.0,33.0,220.0,218.0,222.0,222.0,215.0,218.0,222.0,1.0
RM2Mut128_T144,144.0,144.0,144.0,106.0,144.0,144.0,144.0,102.0,142.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,116.0,118.0,111.0,110.0,101.0,111.0,114.0,99.0
RM2Mut200_T196,196.0,196.0,196.0,158.0,196.0,196.0,196.0,154.0,194.0,196.0,196.0,196.0,196.0,196.0,196.0,196.0,168.0,170.0,163.0,162.0,153.0,163.0,166.0,151.0
