,Tarantula,Ochiai1,Ochiai2,RusselRao,Ample,Jaccard,Kulczynski,Wong1,Wong2,Wong3,GP02,GP03,GP19,GP13,Naish1,Naish2,2715,1961,979,76,456,combine
InFlightMut127_T17,16.0,12.0,13.0,19.0,17.0,19.0,19.0,19.0,17.0,20.0,19.0,20.0,19.0,19.0,16.0,19.0,12.0,12.0,14.0,13.0,14.0,13.0
InFlightMut35_T26,23.0,19.0,20.0,26.0,24.0,26.0,26.0,26.0,24.0,27.0,26.0,27.0,26.0,26.0,23.0,26.0,19.0,19.0,21.0,20.0,21.0,20.0
InFlightMut187_T27,32.0,32.0,21.0,27.0,32.0,27.0,27.0,27.0,32.0,4.0,32.0,8.0,27.0,27.0,32.0,32.0,32.0,25.0,28.0,1.0,2.0,31.0
InFlightMut194_T7,6.0,5.0,6.0,12.0,10.0,12.0,12.0,12.0,10.0,10.0,12.0,13.0,12.0,12.0,6.0,12.0,5.0,5.0,7.0,6.0,7.0,6.0
InFlightMut36_T3,2.0,2.0,3.0,9.0,7.0,9.0,9.0,9.0,7.0,6.0,9.0,10.0,9.0,9.0,2.0,9.0,2.0,2.0,4.0,3.0,4.0,3.0
InFlightMut198_T20,19.0,15.0,16.0,22.0,20.0,22.0,22.0,22.0,20.0,23.0,22.0,23.0,22.0,22.0,19.0,22.0,15.0,15.0,17.0,16.0,17.0,16.0
InFlightMut158_T31,27.0,23.0,25.0,31.0,28.0,31.0,31.0,31.0,28.0,31.0,30.0,31.0,31.0,31.0,27.0,30.0,23.0,23.0,25.0,24.0,25.0,24.0
InFlightMut153_T18,17.0,13.0,14.0,20.0,18.0,20.0,20.0,20.0,18.0,21.0,20.0,21.0,20.0,20.0,17.0,20.0,13.0,13.0,15.0,14.0,15.0,14.0
InFlightMut130_T3,2.0,2.0,3.0,9.0,7.0,9.0,9.0,9.0,7.0,6.0,9.0,10.0,9.0,9.0,2.0,9.0,2.0,2.0,4.0,3.0,4.0,3.0
InFlightMut17_T10,9.0,7.0,8.0,14.0,12.0,14.0,14.0,14.0,12.0,13.0,14.0,15.0,14.0,14.0,9.0,14.0,7.0,7.0,9.0,8.0,9.0,8.0
InFlightMut114_T13,12.0,9.0,10.0,16.0,14.0,16.0,16.0,16.0,14.0,16.0,16.0,17.0,16.0,16.0,12.0,16.0,9.0,9.0,11.0,10.0,11.0,10.0
InFlightMut31_T13,12.0,9.0,10.0,16.0,14.0,16.0,16.0,16.0,14.0,16.0,16.0,17.0,16.0,16.0,12.0,16.0,9.0,9.0,11.0,10.0,11.0,10.0
InFlightMut106_T3,2.0,2.0,3.0,9.0,7.0,9.0,9.0,9.0,7.0,6.0,9.0,10.0,9.0,9.0,2.0,9.0,2.0,2.0,4.0,3.0,4.0,3.0
InFlightMut152_T18,17.0,13.0,14.0,20.0,18.0,20.0,20.0,20.0,18.0,21.0,20.0,21.0,20.0,20.0,17.0,20.0,13.0,13.0,15.0,14.0,15.0,14.0
InFlightMut12_T3,2.0,2.0,3.0,9.0,7.0,9.0,9.0,9.0,7.0,6.0,9.0,10.0,9.0,9.0,2.0,9.0,2.0,2.0,4.0,3.0,4.0,3.0
InFlightMut161_T8,7.0,6.0,7.0,13.0,11.0,13.0,13.0,13.0,11.0,11.0,13.0,14.0,13.0,13.0,7.0,13.0,6.0,6.0,8.0,7.0,8.0,7.0
InFlightMut190_T16,15.0,11.0,12.0,18.0,16.0,18.0,18.0,18.0,16.0,19.0,18.0,19.0,18.0,18.0,15.0,18.0,11.0,11.0,13.0,12.0,13.0,12.0
InFlightMut143_T26,23.0,19.0,20.0,26.0,24.0,26.0,26.0,26.0,24.0,27.0,26.0,27.0,26.0,26.0,23.0,26.0,19.0,19.0,21.0,20.0,21.0,20.0
InFlightMut135_T7,6.0,5.0,6.0,12.0,10.0,12.0,12.0,12.0,10.0,10.0,12.0,13.0,12.0,12.0,6.0,12.0,5.0,5.0,7.0,6.0,7.0,6.0
InFlightMut16_T30,26.0,22.0,24.0,30.0,27.0,30.0,30.0,30.0,27.0,30.0,29.0,30.0,30.0,30.0,26.0,29.0,22.0,22.0,24.0,23.0,24.0,23.0
InFlightMut180_T3,2.0,2.0,3.0,9.0,7.0,9.0,9.0,9.0,7.0,6.0,9.0,10.0,9.0,9.0,2.0,9.0,2.0,2.0,4.0,3.0,4.0,3.0
InFlightMut146_T32,28.0,24.0,26.0,32.0,29.0,32.0,32.0,32.0,29.0,32.0,31.0,32.0,32.0,32.0,28.0,31.0,24.0,24.0,26.0,25.0,26.0,25.0
InFlightMut118_T12,11.0,8.0,9.0,15.0,13.0,15.0,15.0,15.0,13.0,15.0,15.0,16.0,15.0,15.0,11.0,15.0,8.0,8.0,10.0,9.0,10.0,9.0
InFlightMut186_T18,17.0,13.0,14.0,20.0,18.0,20.0,20.0,20.0,18.0,21.0,20.0,21.0,20.0,20.0,17.0,20.0,13.0,13.0,15.0,14.0,15.0,14.0
InFlightMut191_T28,24.0,20.0,22.0,28.0,25.0,28.0,28.0,28.0,25.0,28.0,27.0,28.0,28.0,28.0,24.0,27.0,20.0,20.0,22.0,21.0,22.0,21.0
InFlightMut123_T12,11.0,8.0,9.0,15.0,13.0,15.0,15.0,15.0,13.0,15.0,15.0,16.0,15.0,15.0,11.0,15.0,8.0,8.0,10.0,9.0,10.0,9.0
